Code,Country,Income group,Number of Records,Year,Population,Region
,Abkhazia,,1,1800,,Unknown
AFG,Afghanistan,Low income,1,1800,3280000,South Asia
,Akrotiri and Dhekelia,,1,1800,,Unknown
ALB,Albania,Upper middle income,1,1800,410445,Europe & Central Asia
DZA,Algeria,Upper middle income,1,1800,2503218,Middle East & North Africa
ASM,American Samoa,Upper middle income,1,1800,8170,East Asia & Pacific
ADO,Andorra,High income: nonOECD,1,1800,2654,Europe & Central Asia
AGO,Angola,Upper middle income,1,1800,1567028,Sub-Saharan Africa
,Anguilla,,1,1800,2025,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1800,37000,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1800,534000,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1800,413326,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1800,19286,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1800,351014,East Asia & Pacific
AUT,Austria,High income: OECD,1,1800,3205587,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1800,879960,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1800,27350,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1800,64474,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1800,19227358,South Asia
BRB,Barbados,High income: nonOECD,1,1800,81729,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1800,2355081,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1800,3138137,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1800,25526,Latin America & Caribbean
BEN,Benin,Low income,1,1800,636559,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1800,9692,North America
BTN,Bhutan,Lower middle income,1,1800,89989,South Asia
BOL,Bolivia,Lower middle income,1,1800,1100000,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1800,851806,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1800,121000,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1800,3639636,Latin America & Caribbean
,British Virgin Islands,,1,1800,6700,Unknown
BRN,Brunei,High income: nonOECD,1,1800,2128,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1800,1992320,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1800,1665421,Sub-Saharan Africa
BDI,Burundi,Low income,1,1800,899097,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1800,2090000,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1800,1860054,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1800,645526,North America
CPV,Cape Verde,Lower middle income,1,1800,55716,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1800,2439,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1800,479444,Sub-Saharan Africa
TCD,Chad,Low income,1,1800,1432000,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1800,43908,Europe & Central Asia
CHL,Chile,High income: OECD,1,1800,771447,Latin America & Caribbean
CHN,China,Upper middle income,1,1800,321675013,East Asia & Pacific
,Christmas Island,,1,1800,,Unknown
,Cocos Island,,1,1800,,Unknown
COL,Colombia,Upper middle income,1,1800,1206000,Latin America & Caribbean
COM,Comoros,Low income,1,1800,56346,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,1,1800,5163819,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,1,1800,314465,Sub-Saharan Africa
,Cook Is,,1,1800,16136,Unknown
CRI,Costa Rica,Upper middle income,1,1800,51987,Latin America & Caribbean
CIV,Cote d'Ivoire,Lower middle income,1,1800,1088530,Sub-Saharan Africa
HRV,Croatia,High income: nonOECD,1,1800,1227886,Europe & Central Asia
CUB,Cuba,Upper middle income,1,1800,345043,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,1,1800,184392,Europe & Central Asia
CZE,Czech Republic,High income: OECD,1,1800,5516349,Europe & Central Asia
,Czechoslovakia,,1,1800,,Unknown
DNK,Denmark,High income: OECD,1,1800,1062514,Europe & Central Asia
DJI,Djibouti,Lower middle income,1,1800,22848,Middle East & North Africa
DMA,Dominica,Upper middle income,1,1800,19950,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,1,1800,89000,Latin America & Caribbean
,East Germany,,1,1800,,Unknown
ECU,Ecuador,Upper middle income,1,1800,500000,Latin America & Caribbean
EGY,Egypt,Lower middle income,1,1800,4243515,Middle East & North Africa
SLV,El Salvador,Lower middle income,1,1800,248000,Latin America & Caribbean
GNQ,Equatorial Guinea,High income: nonOECD,1,1800,80377,Sub-Saharan Africa
ERI,Eritrea,Low income,1,1800,205010,Sub-Saharan Africa
,Eritrea and Ethiopia,,1,1800,,Unknown
EST,Estonia,High income: OECD,1,1800,334136,Europe & Central Asia
ETH,Ethiopia,Low income,1,1800,2948990,Sub-Saharan Africa
FRO,Faeroe Islands,High income: nonOECD,1,1800,13537,Europe & Central Asia
,Falkland Is (Malvinas),,1,1800,100,Unknown
FJI,Fiji,Upper middle income,1,1800,130533,East Asia & Pacific
FIN,Finland,High income: OECD,1,1800,977662,Europe & Central Asia
FRA,France,High income: OECD,1,1800,29355111,Europe & Central Asia
,French Guiana,,1,1800,9899,Unknown
PYF,French Polynesia,High income: nonOECD,1,1800,62530,East Asia & Pacific
GAB,Gabon,Upper middle income,1,1800,158227,Sub-Saharan Africa
GMB,Gambia,Low income,1,1800,103274,Sub-Saharan Africa
GEO,Georgia,Lower middle income,1,1800,1072178,Europe & Central Asia
DEU,Germany,High income: OECD,1,1800,22886919,Europe & Central Asia
GHA,Ghana,Lower middle income,1,1800,2016034,Sub-Saharan Africa
,Gibraltar,,1,1800,9873,Unknown
GRC,Greece,High income: OECD,1,1800,2151155,Europe & Central Asia
GRL,Greenland,High income: nonOECD,1,1800,9584,Europe & Central Asia
GRD,Grenada,Upper middle income,1,1800,29409,Latin America & Caribbean
,Guadeloupe,,1,1800,80726,Unknown
GUM,Guam,High income: nonOECD,1,1800,6053,East Asia & Pacific
GTM,Guatemala,Lower middle income,1,1800,458965,Latin America & Caribbean
,Guernsey,,1,1800,,Unknown
GIN,Guinea,Low income,1,1800,983959,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,1,1800,218167,Sub-Saharan Africa
GUY,Guyana,Lower middle income,1,1800,166034,Latin America & Caribbean
HTI,Haiti,Low income,1,1800,723000,Latin America & Caribbean
,Holy See,,1,1800,905,Unknown
HND,Honduras,Lower middle income,1,1800,126118,Latin America & Caribbean
HKG,"Hong Kong, China",High income: nonOECD,1,1800,20000,East Asia & Pacific
HUN,Hungary,High income: OECD,1,1800,3499771,Europe & Central Asia
ISL,Iceland,High income: OECD,1,1800,61428,Europe & Central Asia
IND,India,Lower middle income,1,1800,168574895,South Asia
IDN,Indonesia,Lower middle income,1,1800,16108545,East Asia & Pacific
IRN,Iran,Upper middle income,1,1800,6269721,Middle East & North Africa
IRQ,Iraq,Upper middle income,1,1800,1076920,Middle East & North Africa
IRL,Ireland,High income: OECD,1,1800,4064749,Europe & Central Asia
IMY,Isle of Man,High income: nonOECD,1,1800,23533,Europe & Central Asia
ISR,Israel,High income: OECD,1,1800,209954,Middle East & North Africa
ITA,Italy,High income: OECD,1,1800,18822234,Europe & Central Asia
JAM,Jamaica,Upper middle income,1,1800,401000,Latin America & Caribbean
JPN,Japan,High income: OECD,1,1800,30294378,East Asia & Pacific
,Jersey,,1,1800,,Unknown
JOR,Jordan,Upper middle income,1,1800,217000,Middle East & North Africa
KAZ,Kazakhstan,Upper middle income,1,1800,2041282,Europe & Central Asia
KEN,Kenya,Lower middle income,1,1800,2574000,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1800,17876,East Asia & Pacific
PRK,North Korea,Low income,1,1800,4345000,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1800,9395000,East Asia & Pacific
,United Korea (former),,1,1800,,Unknown
KSV,Kosovo,Lower middle income,1,1800,,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1800,81280,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1800,530343,Europe & Central Asia
LAO,Lao,Lower middle income,1,1800,470000,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1800,590588,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1800,332000,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1800,276361,Sub-Saharan Africa
LBR,Liberia,Low income,1,1800,313543,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1800,531472,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1800,5802,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1800,778655,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1800,127030,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1800,17311,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1800,391865,Europe & Central Asia
MDG,Madagascar,Low income,1,1800,1543133,Sub-Saharan Africa
MWI,Malawi,Low income,1,1800,737000,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1800,287000,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1800,42378,South Asia
MLI,Mali,Low income,1,1800,1403398,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1800,134072,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1800,5828,East Asia & Pacific
,Martinique,,1,1800,84039,Unknown
MRT,Mauritania,Lower middle income,1,1800,382696,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1800,62865,Sub-Saharan Africa
,Mayotte,,1,1800,8219,Unknown
MEX,Mexico,Upper middle income,1,1800,6181708,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1800,16416,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1800,712558,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1800,7789,Europe & Central Asia
MNG,Mongolia,Upper middle income,1,1800,619000,East Asia & Pacific
MNE,Montenegro,Upper middle income,1,1800,126582,Europe & Central Asia
,Montserrat,,1,1800,5230,Unknown
MAR,Morocco,Lower middle income,1,1800,2503218,Middle East & North Africa
MOZ,Mozambique,Low income,1,1800,1982324,Sub-Saharan Africa
MMR,Myanmar,Lower middle income,1,1800,3506000,East Asia & Pacific
NAM,Namibia,Upper middle income,1,1800,229000,Sub-Saharan Africa
,Nauru,,1,1800,1834,Unknown
NPL,Nepal,Low income,1,1800,3881000,South Asia
NLD,Netherlands,High income: OECD,1,1800,2254522,Europe & Central Asia
,Netherlands Antilles,,1,1800,,Unknown
NCL,New Caledonia,High income: nonOECD,1,1800,29432,East Asia & Pacific
NZL,New Zealand,High income: OECD,1,1800,100000,East Asia & Pacific
,Ngorno-Karabakh,,1,1800,,Unknown
NIC,Nicaragua,Lower middle income,1,1800,219387,Latin America & Caribbean
NER,Niger,Low income,1,1800,1244861,Sub-Saharan Africa
NGA,Nigeria,Lower middle income,1,1800,12100855,Sub-Saharan Africa
,Niue,,1,1800,4538,Unknown
,Norfolk Island,,1,1800,,Unknown
,Northern Cyprus,,1,1800,,Unknown
MNP,Northern Mariana Islands,High income: nonOECD,1,1800,3360,East Asia & Pacific
NOR,Norway,High income: OECD,1,1800,868570,Europe & Central Asia
OMN,Oman,High income: nonOECD,1,1800,318000,Middle East & North Africa
PAK,Pakistan,Lower middle income,1,1800,13123633,South Asia
PLW,Palau,Upper middle income,1,1800,3875,East Asia & Pacific
PAN,Panama,Upper middle income,1,1800,78842,Latin America & Caribbean
PNG,Papua New Guinea,Lower middle income,1,1800,754894,East Asia & Pacific
PRY,Paraguay,Upper middle income,1,1800,143000,Latin America & Caribbean
PER,Peru,Upper middle income,1,1800,1314151,Latin America & Caribbean
PHL,Philippines,Lower middle income,1,1800,1894389,East Asia & Pacific
,Pitcairn,,1,1800,,Unknown
POL,Poland,High income: OECD,1,1800,9508747,Europe & Central Asia
PRT,Portugal,High income: OECD,1,1800,3033454,Europe & Central Asia
PRI,Puerto Rico,High income: nonOECD,1,1800,155000,Latin America & Caribbean
QAT,Qatar,High income: nonOECD,1,1800,14092,Middle East & North Africa
,Reunion,,1,1800,92744,Unknown
ROM,Romania,Upper middle income,1,1800,5464085,Europe & Central Asia
RUS,Russia,High income: nonOECD,1,1800,31088398,Europe & Central Asia
RWA,Rwanda,Low income,1,1800,928368,Sub-Saharan Africa
,St. Barthélemy,,1,1800,,Unknown
,St. Helena,,1,1800,1997,Unknown
KNA,St. Kitts and Nevis,High income: nonOECD,1,1800,17202,Latin America & Caribbean
LCA,St. Lucia,Upper middle income,1,1800,24000,Latin America & Caribbean
MAF,St. Martin,High income: nonOECD,1,1800,,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,1,1800,25781,Latin America & Caribbean
,St.-Pierre-et-Miquelon,,1,1800,1782,Unknown
WSM,Samoa,Lower middle income,1,1800,47300,East Asia & Pacific
SMR,San Marino,High income: nonOECD,1,1800,5492,Europe & Central Asia
STP,Sao Tome and Principe,Lower middle income,1,1800,22731,Sub-Saharan Africa
SAU,Saudi Arabia,High income: nonOECD,1,1800,2091000,Middle East & North Africa
SEN,Senegal,Lower middle income,1,1800,1009886,Sub-Saharan Africa
SRB,Serbia,Upper middle income,1,1800,2147197,Europe & Central Asia
,Serbia and Montenegro,,1,1800,,Unknown
,Serbia excluding Kosovo,,1,1800,,Unknown
SYC,Seychelles,High income: nonOECD,1,1800,12522,Sub-Saharan Africa
SLE,Sierra Leone,Low income,1,1800,794264,Sub-Saharan Africa
SGP,Singapore,High income: nonOECD,1,1800,30000,East Asia & Pacific
SXM,Slovak Republic,High income: nonOECD,1,1800,2140651,Latin America & Caribbean
SVK,Slovenia,High income: OECD,1,1800,469664,Europe & Central Asia
SVN,Solomon Islands,High income: OECD,1,1800,56998,Europe & Central Asia
SLB,Somalia,Lower middle income,1,1800,991488,East Asia & Pacific
SOM,Somaliland,Low income,1,1800,,Sub-Saharan Africa
ZAF,South Africa,Upper middle income,1,1800,1440820,Sub-Saharan Africa
SSD,South Ossetia,Low income,1,1800,,Sub-Saharan Africa
ESP,Spain,High income: OECD,1,1800,11549294,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,1,1800,1213000,South Asia
SDN,Sudan,Lower middle income,1,1800,3994154,Sub-Saharan Africa
SUR,Suriname,Upper middle income,1,1800,80721,Latin America & Caribbean
,Svalbard,,1,1800,,Unknown
SWZ,Swaziland,Lower middle income,1,1800,86000,Sub-Saharan Africa
SWE,Sweden,High income: OECD,1,1800,2354189,Europe & Central Asia
CHE,Switzerland,High income: OECD,1,1800,1826051,Europe & Central Asia
SYR,Syria,Lower middle income,1,1800,1337000,Middle East & North Africa
TWN,Taiwan,High income: nonOECD,1,1800,,East Asia & Pacific
TJK,Tajikistan,Lower middle income,1,1800,466629,Europe & Central Asia
TZA,Tanzania,Low income,1,1800,3019768,Sub-Saharan Africa
THA,Thailand,Upper middle income,1,1800,4665000,East Asia & Pacific
TMP,Timor-Leste,Lower middle income,1,1800,137262,East Asia & Pacific
TGO,Togo,Low income,1,1800,445985,Sub-Saharan Africa
,Tokelau,,1,1800,1009,Unknown
TON,Tonga,Upper middle income,1,1800,18658,East Asia & Pacific
,Transnistria,,1,1800,,Unknown
TTO,Trinidad and Tobago,High income: nonOECD,1,1800,60000,Latin America & Caribbean
TUN,Tunisia,Upper middle income,1,1800,862029,Middle East & North Africa
TUR,Turkey,Upper middle income,1,1800,9773456,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,1,1800,367215,Europe & Central Asia
TCA,Turks and Caicos Islands,High income: nonOECD,1,1800,3296,Latin America & Caribbean
TUV,Tuvalu,Upper middle income,1,1800,2499,East Asia & Pacific
UGA,Uganda,Low income,1,1800,2101397,Sub-Saharan Africa
UKR,Ukraine,Lower middle income,1,1800,11215490,Europe & Central Asia
ARE,United Arab Emirates,High income: nonOECD,1,1800,40153,Middle East & North Africa
GBR,United Kingdom,High income: OECD,1,1800,12327466,Europe & Central Asia
USA,United States,High income: OECD,1,1800,6801854,North America
URY,Uruguay,High income: nonOECD,1,1800,55000,Latin America & Caribbean
,USSR,,1,1800,,Unknown
UZB,Uzbekistan,Lower middle income,1,1800,1919159,Europe & Central Asia
,Wallis et Futuna,,1,1800,3721,Unknown
VUT,Vanuatu,Lower middle income,1,1800,27791,East Asia & Pacific
VEN,Venezuela,High income: nonOECD,1,1800,718000,Latin America & Caribbean
,West Bank and Gaza,,1,1800,,Unknown
,West Germany,,1,1800,,Unknown
,Western Sahara,,1,1800,2788,Unknown
VNM,Vietnam,Lower middle income,1,1800,165944,East Asia & Pacific
VIR,Virgin Islands (U.S.),High income: nonOECD,1,1800,40000,Latin America & Caribbean
WBG,North Yemen (former),Lower middle income,1,1800,,Middle East & North Africa
,South Yemen (former),,1,1800,,Unknown
YEM,Yemen,Lower middle income,1,1800,2593000,Middle East & North Africa
,Yugoslavia,,1,1800,,Unknown
ZMB,Zambia,Lower middle income,1,1800,747000,Sub-Saharan Africa
ZWE,Zimbabwe,Low income,1,1800,1085814,Sub-Saharan Africa
,Åland,,1,1800,,Unknown
,South Sudan,,1,1800,1027378,Unknown
,Curaçao,,1,1800,,Unknown
,Sint Maarten (Dutch part),,1,1800,,Unknown
,St. Martin (French part),,1,1800,,Unknown
,Antarctica,,1,1800,,Unknown
,Bouvet Island,,1,1800,,Unknown
,British Indian Ocean Territory,,1,1800,,Unknown
,Clipperton,,1,1800,,Unknown
,French Southern and Antarctic Lands,,1,1800,,Unknown
,Gaza Strip,,1,1800,,Unknown
,Heard and McDonald Islands,,1,1800,,Unknown
,Northern Marianas,,1,1800,,Unknown
,South Georgia and the South Sandwich Islands,,1,1800,,Unknown
,US Minor Outlying Islands,,1,1800,,Unknown
,Virgin Islands,,1,1800,,Unknown
,West Bank,,1,1800,,Unknown
,Abkhazia,,1,1810,,Unknown
AFG,Afghanistan,Low income,1,1810,3280000,South Asia
,Akrotiri and Dhekelia,,1,1810,,Unknown
ALB,Albania,Upper middle income,1,1810,423591,Europe & Central Asia
DZA,Algeria,Upper middle income,1,1810,2595056,Middle East & North Africa
ASM,American Samoa,Upper middle income,1,1810,8156,East Asia & Pacific
ADO,Andorra,High income: nonOECD,1,1810,2654,Europe & Central Asia
AGO,Angola,Upper middle income,1,1810,1567028,Sub-Saharan Africa
,Anguilla,,1,1810,2025,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1810,37000,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1810,534000,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1810,413326,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1810,19286,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1810,342440,East Asia & Pacific
AUT,Austria,High income: OECD,1,1810,3286650,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1810,879960,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1810,27350,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1810,64474,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1810,19611269,South Asia
BRB,Barbados,High income: nonOECD,1,1810,81729,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1810,2355081,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1810,3283959,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1810,25526,Latin America & Caribbean
BEN,Benin,Low income,1,1810,636559,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1810,9831,North America
BTN,Bhutan,Lower middle income,1,1810,89989,South Asia
BOL,Bolivia,Lower middle income,1,1810,1100000,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1810,851806,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1810,121000,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1810,4058652,Latin America & Caribbean
,British Virgin Islands,,1,1810,6700,Unknown
BRN,Brunei,High income: nonOECD,1,1810,2128,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1810,2088223,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1810,1665421,Sub-Saharan Africa
BDI,Burundi,Low income,1,1810,899097,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1810,2090000,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1810,1860054,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1810,727603,North America
CPV,Cape Verde,Lower middle income,1,1810,55716,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1810,2439,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1810,479444,Sub-Saharan Africa
TCD,Chad,Low income,1,1810,1432000,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1810,43908,Europe & Central Asia
CHL,Chile,High income: OECD,1,1810,771447,Latin America & Caribbean
CHN,China,Upper middle income,1,1810,350542958,East Asia & Pacific
,Christmas Island,,1,1810,,Unknown
,Cocos Island,,1,1810,,Unknown
COL,Colombia,Upper middle income,1,1810,1206000,Latin America & Caribbean
COM,Comoros,Low income,1,1810,56346,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,1,1810,5163819,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,1,1810,314465,Sub-Saharan Africa
,Cook Is,,1,1810,16333,Unknown
CRI,Costa Rica,Upper middle income,1,1810,57584,Latin America & Caribbean
CIV,Cote d'Ivoire,Lower middle income,1,1810,1088530,Sub-Saharan Africa
HRV,Croatia,High income: nonOECD,1,1810,1227886,Europe & Central Asia
CUB,Cuba,Upper middle income,1,1810,470176,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,1,1810,184590,Europe & Central Asia
CZE,Czech Republic,High income: OECD,1,1810,5516349,Europe & Central Asia
,Czechoslovakia,,1,1810,,Unknown
DNK,Denmark,High income: OECD,1,1810,1108146,Europe & Central Asia
DJI,Djibouti,Lower middle income,1,1810,22848,Middle East & North Africa
DMA,Dominica,Upper middle income,1,1810,19950,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,1,1810,89000,Latin America & Caribbean
,East Germany,,1,1810,,Unknown
ECU,Ecuador,Upper middle income,1,1810,500000,Latin America & Caribbean
EGY,Egypt,Lower middle income,1,1810,4218711,Middle East & North Africa
SLV,El Salvador,Lower middle income,1,1810,248000,Latin America & Caribbean
GNQ,Equatorial Guinea,High income: nonOECD,1,1810,80377,Sub-Saharan Africa
ERI,Eritrea,Low income,1,1810,205010,Sub-Saharan Africa
,Eritrea and Ethiopia,,1,1810,,Unknown
EST,Estonia,High income: OECD,1,1810,334136,Europe & Central Asia
ETH,Ethiopia,Low income,1,1810,2948990,Sub-Saharan Africa
FRO,Faeroe Islands,High income: nonOECD,1,1810,13537,Europe & Central Asia
,Falkland Is (Malvinas),,1,1810,100,Unknown
FJI,Fiji,Upper middle income,1,1810,132682,East Asia & Pacific
FIN,Finland,High income: OECD,1,1810,1070625,Europe & Central Asia
FRA,France,High income: OECD,1,1810,30293172,Europe & Central Asia
,French Guiana,,1,1810,9899,Unknown
PYF,French Polynesia,High income: nonOECD,1,1810,63322,East Asia & Pacific
GAB,Gabon,Upper middle income,1,1810,158227,Sub-Saharan Africa
GMB,Gambia,Low income,1,1810,103274,Sub-Saharan Africa
GEO,Georgia,Lower middle income,1,1810,1072178,Europe & Central Asia
DEU,Germany,High income: OECD,1,1810,23882461,Europe & Central Asia
GHA,Ghana,Lower middle income,1,1810,2016034,Sub-Saharan Africa
,Gibraltar,,1,1810,9873,Unknown
GRC,Greece,High income: OECD,1,1810,2230659,Europe & Central Asia
GRL,Greenland,High income: nonOECD,1,1810,9584,Europe & Central Asia
GRD,Grenada,Upper middle income,1,1810,29409,Latin America & Caribbean
,Guadeloupe,,1,1810,80726,Unknown
GUM,Guam,High income: nonOECD,1,1810,8736,East Asia & Pacific
GTM,Guatemala,Lower middle income,1,1810,524190,Latin America & Caribbean
,Guernsey,,1,1810,,Unknown
GIN,Guinea,Low income,1,1810,983959,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,1,1810,218167,Sub-Saharan Africa
GUY,Guyana,Lower middle income,1,1810,166034,Latin America & Caribbean
HTI,Haiti,Low income,1,1810,723000,Latin America & Caribbean
,Holy See,,1,1810,905,Unknown
HND,Honduras,Lower middle income,1,1810,132182,Latin America & Caribbean
HKG,"Hong Kong, China",High income: nonOECD,1,1810,20000,East Asia & Pacific
HUN,Hungary,High income: OECD,1,1810,3814221,Europe & Central Asia
ISL,Iceland,High income: OECD,1,1810,61428,Europe & Central Asia
IND,India,Lower middle income,1,1810,171940819,South Asia
IDN,Indonesia,Lower middle income,1,1810,16537268,East Asia & Pacific
IRN,Iran,Upper middle income,1,1810,6413820,Middle East & North Africa
IRQ,Iraq,Upper middle income,1,1810,1084941,Middle East & North Africa
IRL,Ireland,High income: OECD,1,1810,4541676,Europe & Central Asia
IMY,Isle of Man,High income: nonOECD,1,1810,23533,Europe & Central Asia
ISR,Israel,High income: OECD,1,1810,209954,Middle East & North Africa
ITA,Italy,High income: OECD,1,1810,19491674,Europe & Central Asia
JAM,Jamaica,Upper middle income,1,1810,401000,Latin America & Caribbean
JPN,Japan,High income: OECD,1,1810,30645903,East Asia & Pacific
,Jersey,,1,1810,,Unknown
JOR,Jordan,Upper middle income,1,1810,217000,Middle East & North Africa
KAZ,Kazakhstan,Upper middle income,1,1810,2041282,Europe & Central Asia
KEN,Kenya,Lower middle income,1,1810,2574000,Sub-Saharan Africa
KIR,Kiribati,Lower middle income,1,1810,17876,East Asia & Pacific
PRK,North Korea,Low income,1,1810,4345000,East Asia & Pacific
KOR,South Korea,High income: OECD,1,1810,9395000,East Asia & Pacific
,United Korea (former),,1,1810,,Unknown
KSV,Kosovo,Lower middle income,1,1810,,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,1,1810,81280,Middle East & North Africa
KGZ,Kyrgyz Republic,Lower middle income,1,1810,530343,Europe & Central Asia
LAO,Lao,Lower middle income,1,1810,470000,East Asia & Pacific
LVA,Latvia,High income: nonOECD,1,1810,590588,Europe & Central Asia
LBN,Lebanon,Upper middle income,1,1810,332000,Middle East & North Africa
LSO,Lesotho,Lower middle income,1,1810,276361,Sub-Saharan Africa
LBR,Liberia,Low income,1,1810,313543,Sub-Saharan Africa
LBY,Libya,Upper middle income,1,1810,534730,Middle East & North Africa
LIE,Liechtenstein,High income: nonOECD,1,1810,5802,Europe & Central Asia
LTU,Lithuania,High income: nonOECD,1,1810,778655,Europe & Central Asia
LUX,Luxembourg,High income: OECD,1,1810,127030,Europe & Central Asia
MAC,"Macao, China",High income: nonOECD,1,1810,21325,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,1,1810,391865,Europe & Central Asia
MDG,Madagascar,Low income,1,1810,1612106,Sub-Saharan Africa
MWI,Malawi,Low income,1,1810,737000,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,1,1810,287000,East Asia & Pacific
MDV,Maldives,Upper middle income,1,1810,42378,South Asia
MLI,Mali,Low income,1,1810,1403398,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,1,1810,134072,Middle East & North Africa
MHL,Marshall Islands,Upper middle income,1,1810,5828,East Asia & Pacific
,Martinique,,1,1810,84039,Unknown
MRT,Mauritania,Lower middle income,1,1810,382696,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,1,1810,78310,Sub-Saharan Africa
,Mayotte,,1,1810,8219,Unknown
MEX,Mexico,Upper middle income,1,1810,6382317,Latin America & Caribbean
FSM,"Micronesia, Fed. Sts.",Lower middle income,1,1810,16416,East Asia & Pacific
MDA,Moldova,Lower middle income,1,1810,712558,Europe & Central Asia
MCO,Monaco,High income: nonOECD,1,1810,7789,Europe & Central Asia
