Gender,Number of Records,Occurences,State,Top Name,Year
Male,1,146,AK,Michael,1972
Male,1,142,AK,Michael,1973
Male,1,151,AK,Michael,1974
Male,1,147,AK,Michael,1975
Male,1,146,AK,Jason,1976
Male,1,133,AK,Jason,1977
Male,1,149,AK,Michael,1978
Male,1,141,AK,Christopher,1979
Male,1,145,AK,Michael,1980
Male,1,149,AK,Michael,1981
Male,1,206,AK,Michael,1982
Male,1,188,AK,Christopher,1983
Male,1,200,AK,Christopher,1984
Male,1,189,AK,Michael,1985
Male,1,170,AK,Michael,1986
Male,1,174,AK,Christopher,1987
Male,1,181,AK,Michael,1988
Male,1,159,AK,Michael,1989
Male,1,197,AK,Michael,1990
Male,1,149,AK,Michael,1991
Male,1,159,AK,Michael,1992
Male,1,110,AK,Michael,1993
Male,1,101,AK,Michael,1994
Male,1,88,AK,Michael,1995
Male,1,101,AK,Michael,1996
Male,1,86,AK,Jacob,1997
Male,1,78,AK,Michael,1998
Male,1,96,AK,Jacob,1999
Male,1,74,AK,Michael,2000
Male,1,67,AK,Michael,2001
Male,1,75,AK,Jacob,2002
Male,1,62,AK,Jacob,2003
Male,1,65,AK,Ethan,2004
Male,1,63,AK,Ethan,2005
Male,1,67,AK,James,2006
Male,1,58,AK,Aiden,2007
Male,1,67,AK,James,2008
Male,1,58,AK,Michael,2009
Male,1,57,AK,William,2010
Male,1,58,AK,Mason,2011
Male,1,51,AK,James,2012
Female,1,875,AL,Mary,1910
Female,1,803,AL,Mary,1911
Female,1,1041,AL,Mary,1912
Female,1,1125,AL,Mary,1913
Female,1,1429,AL,Mary,1914
Female,1,1551,AL,Mary,1915
Female,1,1721,AL,Mary,1916
Female,1,1824,AL,Mary,1917
Female,1,1916,AL,Mary,1918
Female,1,2223,AL,Mary,1919
Female,1,2357,AL,Mary,1920
Female,1,2319,AL,Mary,1921
Female,1,2384,AL,Mary,1922
Female,1,2420,AL,Mary,1923
Female,1,2596,AL,Mary,1924
Female,1,2693,AL,Mary,1925
Female,1,2535,AL,Mary,1926
Female,1,2609,AL,Mary,1927
Female,1,2501,AL,Mary,1928
Female,1,2339,AL,Mary,1929
Female,1,2399,AL,Mary,1930
Female,1,2272,AL,Mary,1931
Female,1,2339,AL,Mary,1932
Female,1,2103,AL,Mary,1933
Female,1,2290,AL,Mary,1934
Female,1,2214,AL,Mary,1935
Female,1,2016,AL,Mary,1936
Female,1,2155,AL,Mary,1937
Female,1,2192,AL,Mary,1938
Female,1,2073,AL,Mary,1939
Female,1,2074,AL,Mary,1940
Female,1,2099,AL,Mary,1941
Female,1,2350,AL,Mary,1942
Female,1,2308,AL,Mary,1943
Female,1,2078,AL,Mary,1944
Female,1,2081,AL,Mary,1945
Female,1,2108,AL,Mary,1946
Female,1,2115,AL,Mary,1947
Female,1,2079,AL,Mary,1948
Female,1,1973,AL,Mary,1949
Female,1,1840,AL,Mary,1950
Female,1,1700,AL,Mary,1951
Female,1,1720,AL,Mary,1952
Female,1,1498,AL,Mary,1953
Female,1,1449,AL,Mary,1954
Female,1,1355,AL,Mary,1955
Female,1,1248,AL,Mary,1956
Female,1,1222,AL,Mary,1957
Female,1,1044,AL,Mary,1958
Female,1,1048,AL,Mary,1959
Female,1,982,AL,Mary,1960
Female,1,930,AL,Mary,1961
Female,1,821,AL,Mary,1962
Female,1,854,AL,Lisa,1963
Female,1,825,AL,Lisa,1964
Female,1,930,AL,Lisa,1965
Female,1,795,AL,Lisa,1966
Female,1,705,AL,Lisa,1967
Female,1,695,AL,Lisa,1968
Female,1,658,AL,Kimberly,1969
Female,1,734,AL,Kimberly,1970
Female,1,727,AL,Jennifer,1971
Female,1,816,AL,Jennifer,1972
Female,1,882,AL,Jennifer,1973
Female,1,987,AL,Jennifer,1974
Female,1,880,AL,Jennifer,1975
Female,1,905,AL,Jennifer,1976
Female,1,965,AL,Jennifer,1977
Female,1,800,AL,Jennifer,1978
Female,1,855,AL,Jennifer,1979
Female,1,923,AL,Jennifer,1980
Female,1,948,AL,Jennifer,1981
Female,1,871,AL,Jennifer,1982
Female,1,897,AL,Jennifer,1983
Female,1,816,AL,Ashley,1984
Female,1,980,AL,Ashley,1985
Female,1,929,AL,Ashley,1986
Female,1,1010,AL,Ashley,1987
Female,1,953,AL,Jessica,1988
Female,1,895,AL,Ashley,1989
Female,1,824,AL,Ashley,1990
Female,1,775,AL,Ashley,1991
Female,1,660,AL,Jessica,1992
Female,1,650,AL,Ashley,1993
Female,1,508,AL,Ashley,1994
Female,1,451,AL,Jessica,1995
Female,1,392,AL,Hannah,1996
Female,1,426,AL,Hannah,1997
Female,1,458,AL,Hannah,1998
Female,1,475,AL,Hannah,1999
Female,1,443,AL,Hannah,2000
Female,1,418,AL,Madison,2001
Female,1,439,AL,Madison,2002
Female,1,408,AL,Madison,2003
Female,1,388,AL,Emma,2004
Female,1,403,AL,Madison,2005
Female,1,384,AL,Madison,2006
Female,1,380,AL,Emma,2007
Female,1,356,AL,Emma,2008
Female,1,336,AL,Emma,2009
Female,1,318,AL,Emma,2010
Female,1,282,AL,Emma,2011
Female,1,317,AL,Emma,2012
Male,1,486,AL,James,1910
Male,1,468,AL,James,1911
Male,1,784,AL,James,1912
Male,1,1010,AL,James,1913
Male,1,1222,AL,James,1914
Male,1,1544,AL,James,1915
Male,1,1658,AL,James,1916
Male,1,1698,AL,James,1917
Male,1,1874,AL,James,1918
Male,1,2223,AL,James,1919
Male,1,2299,AL,James,1920
Male,1,2380,AL,James,1921
Male,1,2533,AL,James,1922
Male,1,2458,AL,James,1923
Male,1,2511,AL,James,1924
Male,1,2567,AL,James,1925
Male,1,2658,AL,James,1926
Male,1,2586,AL,James,1927
Male,1,2590,AL,James,1928
Male,1,2432,AL,James,1929
Male,1,2398,AL,James,1930
Male,1,2246,AL,James,1931
Male,1,2273,AL,James,1932
Male,1,2183,AL,James,1933
Male,1,2291,AL,James,1934
Male,1,2286,AL,James,1935
Male,1,2200,AL,James,1936
Male,1,2252,AL,James,1937
Male,1,2243,AL,James,1938
Male,1,2282,AL,James,1939
Male,1,2279,AL,James,1940
Male,1,2403,AL,James,1941
Male,1,2737,AL,James,1942
Male,1,2896,AL,James,1943
Male,1,2646,AL,James,1944
Male,1,2490,AL,James,1945
Male,1,2707,AL,James,1946
Male,1,3040,AL,James,1947
Male,1,2771,AL,James,1948
Male,1,2833,AL,James,1949
Male,1,2664,AL,James,1950
Male,1,2525,AL,James,1951
Male,1,2390,AL,James,1952
Male,1,2442,AL,James,1953
Male,1,2254,AL,James,1954
Male,1,2202,AL,James,1955
Male,1,2117,AL,James,1956
Male,1,2096,AL,James,1957
Male,1,1838,AL,James,1958
Male,1,1874,AL,James,1959
Male,1,1866,AL,James,1960
Male,1,1804,AL,James,1961
Male,1,1648,AL,James,1962
Male,1,1735,AL,James,1963
Male,1,1696,AL,James,1964
Male,1,1645,AL,James,1965
Male,1,1493,AL,James,1966
Male,1,1451,AL,James,1967
Male,1,1418,AL,James,1968
Male,1,1392,AL,James,1969
Male,1,1452,AL,James,1970
Male,1,1361,AL,Michael,1971
Male,1,1223,AL,Michael,1972
Male,1,1194,AL,Christopher,1973
Male,1,1183,AL,Christopher,1974
Male,1,1098,AL,Michael,1975
Male,1,1055,AL,Michael,1976
Male,1,1020,AL,Christopher,1977
Male,1,961,AL,James,1978
Male,1,1067,AL,Christopher,1979
Male,1,950,AL,Christopher,1980
Male,1,976,AL,Christopher,1981
Male,1,1076,AL,Christopher,1982
Male,1,1061,AL,Christopher,1983
Male,1,1097,AL,Christopher,1984
Male,1,1104,AL,Christopher,1985
Male,1,957,AL,Christopher,1986
Male,1,913,AL,Christopher,1987
Male,1,929,AL,Justin,1988
Male,1,922,AL,Christopher,1989
Male,1,938,AL,Christopher,1990
Male,1,844,AL,Christopher,1991
Male,1,747,AL,Christopher,1992
Male,1,692,AL,Christopher,1993
Male,1,673,AL,Christopher,1994
Male,1,628,AL,William,1995
Male,1,628,AL,William,1996
Male,1,594,AL,William,1997
Male,1,701,AL,William,1998
Male,1,671,AL,William,1999
Male,1,655,AL,William,2000
Male,1,618,AL,William,2001
Male,1,618,AL,William,2002
Male,1,616,AL,William,2003
Male,1,639,AL,William,2004
Male,1,550,AL,William,2005
Male,1,608,AL,William,2006
Male,1,551,AL,William,2007
Male,1,536,AL,William,2008
Male,1,508,AL,William,2009
Male,1,495,AL,William,2010
Male,1,445,AL,William,2011
Male,1,436,AL,William,2012
Female,1,408,AR,Mary,1910
Female,1,386,AR,Mary,1911
Female,1,491,AR,Mary,1912
Female,1,527,AR,Mary,1913
Female,1,645,AR,Mary,1914
Female,1,837,AR,Mary,1915
Female,1,904,AR,Mary,1916
Female,1,958,AR,Mary,1917
Female,1,1048,AR,Mary,1918
Female,1,1101,AR,Mary,1919
Female,1,1205,AR,Mary,1920
Female,1,1190,AR,Mary,1921
Female,1,1283,AR,Mary,1922
Female,1,1257,AR,Mary,1923
Female,1,1363,AR,Mary,1924
Female,1,1403,AR,Mary,1925
Female,1,1321,AR,Mary,1926
Female,1,1340,AR,Mary,1927
Female,1,1172,AR,Mary,1928
Female,1,1240,AR,Mary,1929
Female,1,1321,AR,Mary,1930
Female,1,1173,AR,Mary,1931
Female,1,1249,AR,Mary,1932
Female,1,1149,AR,Mary,1933
Female,1,1210,AR,Mary,1934
Female,1,1227,AR,Mary,1935
Female,1,1090,AR,Mary,1936
Female,1,1147,AR,Mary,1937
Female,1,1158,AR,Mary,1938
Female,1,1111,AR,Mary,1939
Female,1,1189,AR,Mary,1940
Female,1,1223,AR,Mary,1941
Female,1,1208,AR,Mary,1942
Female,1,1227,AR,Mary,1943
Female,1,1114,AR,Mary,1944
Female,1,971,AR,Mary,1945
Female,1,1076,AR,Mary,1946
Female,1,1419,AR,Linda,1947
Female,1,1423,AR,Linda,1948
Female,1,1313,AR,Linda,1949
Female,1,1187,AR,Linda,1950
Female,1,982,AR,Linda,1951
Female,1,958,AR,Linda,1952
Female,1,776,AR,Linda,1953
Female,1,718,AR,Mary,1954
Female,1,682,AR,Mary,1955
Female,1,642,AR,Mary,1956
Female,1,669,AR,Mary,1957
Female,1,551,AR,Mary,1958
Female,1,502,AR,Mary,1959
Female,1,478,AR,Mary,1960
Female,1,441,AR,Mary,1961
Female,1,438,AR,Mary,1962
Female,1,546,AR,Lisa,1963
Female,1,510,AR,Lisa,1964
Female,1,586,AR,Lisa,1965
Female,1,509,AR,Lisa,1966
Female,1,420,AR,Lisa,1967
Female,1,411,AR,Lisa,1968
Female,1,355,AR,Lisa,1969
Female,1,362,AR,Kimberly,1970
Female,1,403,AR,Angela,1971
Female,1,454,AR,Jennifer,1972
Female,1,546,AR,Jennifer,1973
Female,1,563,AR,Jennifer,1974
Female,1,524,AR,Jennifer,1975
Female,1,541,AR,Jennifer,1976
Female,1,577,AR,Jennifer,1977
Female,1,517,AR,Jennifer,1978
Female,1,589,AR,Amanda,1979
Female,1,603,AR,Amanda,1980
Female,1,518,AR,Amanda,1981
Female,1,528,AR,Jennifer,1982
Female,1,469,AR,Jennifer,1983
Female,1,481,AR,Jennifer,1984
Female,1,490,AR,Ashley,1985
Female,1,553,AR,Ashley,1986
